2461,2678,3450
2851,524,3047
1168,2663,262
2741,1518,2851
1298,1251,1362
4847,1838,3701
4321,420,3785
2736,4730,2429
826,1855,3953
2800,4055,70
711,1413,4421
1579,4855,797
621,3749,356
2673,3203,882
4516,25,1924
1472,4387,2567
1314,1008,4098
1042,4509,4892
1948,1067,1889
1682,26,973
2261,3567,2272
528,3311,1611
2938,3156,1264
1196,1562,4142
632,219,3560
4106,3376,4595
1671,3059,3245
1303,3157,922
3699,3792,4656
1955,87,297
1571,3161,4585
1135,332,3512
3193,2845,3322
1397,2860,157
4163,4479,1238
1314,2752,664
3510,3007,4471
2068,4236,2560
3208,3070,3057
1819,4749,300
4166,3447,4711
1802,1774,1102
3874,1571,4071
2974,1981,3092
937,2772,3962
621,4494,4411
1997,3412,2960
2096,478,1191
653,2820,3985
856,278,4962
4131,574,3492
2338,2232,3325
949,3901,3517
554,4659,4280
4998,19,2037
2557,351,417
731,4395,891
4050,1999,4249
1816,1354,4433
3281,2302,2512
528,916,1017
714,1783,1914
186,973,3937
2685,4244,2809
3224,652,1833
2184,671,761
1680,1202,4374
3179,4156,3891
4131,3097,1090
3900,847,1596
430,4408,1347
4921,4596,2659
2161,2733,301
450,3233,3171
3868,499,1787
4253,818,4001
3571,2308,1848
2271,2926,4520
653,342,3457
986,4784,2533
2902,2716,883
3889,4616,2926
4632,1161,3865
95,1786,664
53,3677,938
2803,1603,900
4159,1172,3046
450,4712,4692
2563,334,4070
3824,949,2566
4681,2926,2564
780,520,938
908,4745,4364
932,4037,34
2953,4913,724
1846,4408,4949
4709,3387,3529
3620,3268,1189
3248,87,3651
1836,900,1750
1125,3638,538
733,3588,2261
302,3210,2365
1394,2457,1839
3571,2059,4419
3462,4704,1164
4390,1911,4009
4439,497,4493
3803,153,4650
480,543,4419
3353,3013,4321
367,1567,759
2484,387,4198
4979,2631,1249
958,1610,282
850,4872,1109
20,67,404
4499,2272,2616
14,2649,1808
4330,1758,880
2510,1674,406
146,1125,4516
1205,1778,105
3040,3763,3059
4030,4222,937
4655,3612,3914
4109,4522,4438
1429,1977,4573
790,3105,635
498,3685,3065
3468,1276,4662
49,4106,457
3503,2748,1854
1684,2291,4262
3843,2067,3823
3642,1986,4568
3420,3180,4605
4492,4551,4718
2648,4786,2725
1809,582,2962
